City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
604,Kudahuvadhoo,MV,2.6708,72.8944,82.11,73,100,15.66,overcast clouds
605,Tromso,NO,69.6496,18.957,39.38,93,100,2.3,overcast clouds
606,Mecca,SA,21.4267,39.8261,77.79,55,9,0.63,clear sky
607,Barcelos,PT,41.5388,-8.6151,64.85,53,1,5.06,clear sky
608,Bhatapara,IN,21.7333,81.9333,77.58,74,61,6.38,broken clouds
609,Pekalongan,ID,-6.8886,109.6753,85.01,68,100,4.61,overcast clouds
610,Harper,LR,4.375,-7.7169,75.63,91,100,7.52,light rain
611,Bronnoysund,NO,65.4625,12.1997,50.0,93,40,13.0,scattered clouds
612,Erdenet,MN,49.0333,104.0833,28.0,46,0,4.47,clear sky
613,Canandaigua,US,42.8742,-77.288,52.32,86,16,5.61,few clouds
614,Junagarh,IN,19.8667,82.9333,77.31,87,100,1.36,overcast clouds
615,Dunedin,NZ,-45.8742,170.5036,50.58,57,59,19.77,broken clouds
616,Biltine,TD,14.5333,20.9167,77.99,65,62,9.15,broken clouds
617,Townsville,AU,-19.25,146.8,81.48,61,75,14.97,broken clouds
618,Alghero,IT,40.5589,8.3181,69.89,94,20,5.75,few clouds
619,Tarabuco,BO,-19.1667,-64.9167,45.97,82,100,2.89,overcast clouds
620,Skaerbaek,DK,55.1573,8.769,55.29,84,3,17.9,clear sky
621,Grand Gaube,MU,-20.0064,57.6608,70.38,68,64,3.0,broken clouds
622,Amga,RU,60.8953,131.9608,30.42,57,100,9.17,overcast clouds
623,Borborema,BR,-21.6197,-49.0736,73.83,63,1,7.14,clear sky
624,Guaiuba,BR,-4.0397,-38.6372,80.04,90,15,4.54,few clouds
625,Wagar,SD,16.1525,36.2032,87.03,37,23,10.13,few clouds
626,Henties Bay,NA,-22.116,14.2845,54.9,92,1,4.7,clear sky
627,Nenjiang,CN,49.1833,125.2167,43.97,45,100,11.9,overcast clouds
628,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,40,13.82,scattered clouds
629,Margate,GB,51.3813,1.3862,49.89,67,99,3.33,overcast clouds
630,Northam,GB,51.0333,-4.2167,49.6,94,94,5.03,overcast clouds
631,Gravelbourg,CA,49.8834,-106.5512,55.67,49,100,0.74,overcast clouds
632,Marrakesh,MA,31.6315,-8.0083,71.67,40,0,3.44,clear sky
633,San Quintin,MX,30.4833,-115.95,68.43,78,44,13.42,scattered clouds
634,Ulladulla,AU,-35.35,150.4667,62.42,57,59,8.95,broken clouds
635,Mafeteng,LS,-29.823,27.2374,59.86,16,0,3.85,clear sky
636,Roebourne,AU,-20.7833,117.1333,81.48,40,0,11.21,clear sky
637,Trelew,AR,-43.249,-65.3051,48.18,61,98,16.04,overcast clouds
638,Esna,EG,25.2934,32.554,82.11,27,0,7.76,clear sky
639,Moose Factory,CA,51.2585,-80.6094,48.2,61,75,11.5,broken clouds
640,Richards Bay,ZA,-28.783,32.0377,68.52,91,0,9.57,clear sky
641,Kaeo,NZ,-35.1,173.7833,68.32,78,69,9.57,broken clouds
642,Kot Addu,PK,30.4692,70.9671,79.48,43,0,7.16,clear sky
643,Lata,PT,40.1629,-8.3327,63.21,39,24,4.27,few clouds
644,Maryborough,AU,-25.5333,152.7,73.11,50,51,10.94,broken clouds
645,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,40,10.36,scattered clouds
646,Anadyr,RU,64.75,177.4833,34.3,74,75,11.18,broken clouds
647,Mandali,IQ,33.7499,45.5541,80.19,16,0,3.91,clear sky
